title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,3.83,241.0,5164.0,2000.0,"Spider's WebA NovelCharles Osborne;Agatha ChristieDetective and mystery storiesA new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI"
Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East",4.41,608.0,65.0,1998.0,"Empires of the MonsoonA History of the Indian Ocean and Its InvadersRichard HallAfrica, EastUntil Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition."
The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",4.15,743.0,103.0,1994.0,"The Gap Into MadnessChaos and OrderStephen R. DonaldsonHyland, Morn (Fictitious character)A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return..."
Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English",4.2,359.0,6235.0,1997.0,"Miss MarpleThe Complete Short StoriesAgatha ChristieDetective and mystery stories, EnglishMiss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes."
'Tis,A Memoir,Frank McCourt,Ireland,3.68,495.0,44179.0,2000.0,"'TisA MemoirFrank McCourtIrelandFROM THE PULIZER PRIZE-WINNING AUTHOR OF THE #1 ""NEW YORK TIMES"" BESTSELLER ""ANGELA'S ASHES"" Frank McCourt's glorious childhood memoir, ""Angela's Ashes, "" has been loved and celebrated by readers everywhere. It won the National Book Critics Circle Award, the ""Los Angeles Times"" Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have ""'Tis, "" the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen and gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this ""classless country,"" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice that renders these experiences spellbinding. When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him. He knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee and tries to live his dream. But it is not until he starts to teach that Frank finds his place in the world."
A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English",4.27,239.0,116.0,2000.0,"A Small Pinch of WeatherAnd Other StoriesJoan AikenChildren's stories, EnglishA magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds."
Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,4.09,176.0,2245.0,2001.0,"Tree and LeafThe Homecoming of Beorhtnoth : Beorhthelm's SonJohn Ronald Reuel TolkienLiterary Collections""The two works 'On fairy-stories' and 'Leaf by Niggle' were first brought together to form the book 'Tree and leaf' in 1964. In this new edition a third element is added: the poem Mythopoeia, the making of myths...""--Preface."
"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles,4.59,72.0,22.0,2003.0,"The Lord of the Rings, the Return of the KingVisual CompanionJude FisherImaginary wars and battlesA visual guide to the third in the Lord of the Rings movie trilogy. A large-format, full-colour guide to the characters, places, landscapes, artefacts, battles, and costumes as seen in the film, it features images, informative text and specially commissioned extras."
The Lord of the Rings,The Art of The Return of the King,Gary Russell,Characters and characteristics in motion pictures,4.54,224.0,28.0,2004.0,"The Lord of the RingsThe Art of The Return of the KingGary RussellCharacters and characteristics in motion picturesWith complete access to artwork created over a five-year period, this guide illustrates the creative development of The Return of the King. It contains over 600 images, from the earliest pencil sketches and conceptual drawings to magnificent paintings, sculptures and digital imagery that shaped the look of the film. Contributing artists include John Howe and Alan Lee, artists who have inspired Peter Jackson's vision of Middle-earth and worked with him to bring the trilogy to the big screen. Peter Jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film. It covers most aspects of the eagerly awaited finale to the enormously successful trilogy, from locations and costumes to weaponry and creatures. The artists who created all of these diverse elements explain how they contributed to the development of the film."
Lirael,Daughter of the Clayr,Garth Nix,Fantasy fiction,4.3,527.0,1339.0,2004.0,"LiraelDaughter of the ClayrGarth NixFantasy fictionWhen a dangerous necromancer threatens to unleash a long-buried evil, Lirael and Prince Sameth are drawn into a battle to save the Old Kingdom and reveal their true destinies. Suggested level: secondary."
